GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QhatuXApp,controller,CompraController,202,0,12,0,49,0,9,0,3,0
QhatuXApp,controller,CalendarioController,85,0,2,0,21,0,3,0,2,0
QhatuXApp,controller,EventoController,512,0,40,0,118,0,32,0,10,0
QhatuXApp,controller,HomeController,172,0,6,0,37,0,5,0,2,0
QhatuXApp,controller,PerfilController,114,0,4,0,30,0,4,0,2,0
QhatuXApp,controller,AuthController,373,0,25,0,92,0,19,0,5,0
QhatuXApp,controller,ComentarioController,139,0,6,0,29,0,5,0,2,0
QhatuXApp,util,pruebaConexion,6,0,0,0,3,0,2,0,2,0
QhatuXApp,util,PasswordHasher,12,0,0,0,3,0,3,0,3,0
QhatuXApp,util,pruebaHash,43,0,0,0,5,0,2,0,2,0
QhatuXApp,util,MySQLConexion,31,0,0,0,13,0,2,0,2,0
QhatuXApp,dao_impl,PersonaDAOImpl,226,0,14,0,51,0,12,0,5,0
QhatuXApp,dao_impl,UsuarioDAOImpl,316,0,30,0,72,0,22,0,7,0
QhatuXApp,dao_impl,ComentarioDAOImpl,208,0,24,0,50,0,18,0,6,0
QhatuXApp,dao_impl,CategoriaDAOImpl,46,0,2,0,13,0,3,0,2,0
QhatuXApp,dao_impl,EventoDAOImpl,1213,0,112,0,251,0,70,0,14,0
QhatuXApp,dao_impl,CompraDAOImpl,229,0,30,0,53,0,20,0,5,0
QhatuXApp,service,ComentarioService,72,0,8,0,20,0,9,0,5,0
QhatuXApp,service,EventoService,120,0,18,0,28,0,19,0,10,0
QhatuXApp,service,AuthService,99,0,16,0,24,0,11,0,3,0
QhatuXApp,service,GamificationService,24,0,0,0,9,0,3,0,3,0
QhatuXApp,service,CompraService,162,0,18,0,38,0,16,0,7,0
QhatuXApp,model,Comentario,54,0,2,0,20,0,15,0,14,0
QhatuXApp,model,Usuario,83,0,6,0,34,0,18,0,15,0
QhatuXApp,model,Compra,134,0,10,0,37,0,28,0,23,0
QhatuXApp,model,Categoria,36,0,0,0,16,0,8,0,8,0
QhatuXApp,model,Evento,172,0,4,0,65,0,36,0,34,0
QhatuXApp,model,Persona,116,0,0,0,48,0,24,0,24,0
QhatuXApp,model,SessionUser,27,0,0,0,10,0,5,0,5,0
